"Substrate_ACC","Substrate_GN","sites","Peptides","log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1."
"P16858","Gapdh","NA","NA",-0.125,1.62,1.582,0.353,1.778,1.579,0.33,-0.127,1.543
"P0C0S5","H2AZ1","NA","NA",-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
"Q71UI9","H2AZ2","NA","NA",-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
"P0C0S6","H2az1","NA","NA",-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
"Q3THW5","H2az2","NA","NA",-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
"P62937","PPIA","NA","NA",-0.187,0.101,0.198,0.123,0.246,0.185,0.092,-0.216,0.183
"P06454","PTMA","NA","NA",-0.202,-0.318,-0.377,0.154,-0.432,-0.218,0.094,0.005,-0.291
"P26350","Ptma","NA","NA",-0.202,-0.318,-0.377,0.154,-0.432,-0.218,0.094,0.005,-0.291
"Q5QNW6","H2BC18","NA","NA",-0.298,-0.846,-1.027,0.079,-1.431,-0.769,-0.084,-0.266,-1.36
"P23527","H2BC17","NA","NA",-0.298,-0.846,-1.027,0.079,-1.431,-0.769,-0.084,-0.266,-1.36
"Q93079","H2BC9","NA","NA",-0.298,-0.846,-1.027,0.079,-1.431,-0.769,-0.084,-0.266,-1.36
"Q64525","Hist2h2bb","NA","NA",-0.298,-0.846,-1.027,0.079,-1.431,-0.769,-0.084,-0.266,-1.36
"Q9UQE7","SMC3","NA","NA",-0.216,-0.309,-0.304,0.073,-0.48,-0.418,0.083,-0.238,-0.437
"Q9CW03","Smc3","NA","NA",-0.216,-0.309,-0.304,0.073,-0.48,-0.418,0.083,-0.238,-0.437
"P02088","Hbb-b1","NA","NA",0.041,-0.446,-0.332,0.189,-0.256,-0.087,0.204,0.054,-0.184
"P53999","SUB1","NA","NA",-0.19,-0.605,-0.732,0.098,-0.861,-0.581,0.066,-0.219,-0.587
"Q9GZZ1","NAA50","NA","NA",-0.274,-0.716,-0.484,0.008,-1.081,-0.535,-0.091,-0.194,-0.726
"Q6PGB6","Naa50","NA","NA",-0.274,-0.716,-0.484,0.008,-1.081,-0.535,-0.091,-0.194,-0.726
"P05204","HMGN2","NA","NA",-0.182,0.046,0.151,0.061,-0.416,0.031,-0.131,-0.143,0.07
"P09602","Hmgn2","NA","NA",-0.182,0.046,0.151,0.061,-0.416,0.031,-0.131,-0.143,0.07
"P63241","EIF5A","NA","NA",-0.028,-0.848,-0.897,0.008,-0.945,-0.981,0.058,-0.138,-1.146
"Q9GZV4","EIF5A2","NA","NA",-0.028,-0.848,-0.897,0.008,-0.945,-0.981,0.058,-0.138,-1.146
"P63242","Eif5a","NA","NA",-0.028,-0.848,-0.897,0.008,-0.945,-0.981,0.058,-0.138,-1.146
"Q8BGY2","Eif5a2","NA","NA",-0.028,-0.848,-0.897,0.008,-0.945,-0.981,0.058,-0.138,-1.146
"O43809","NUDT21","NA","NA",-0.031,-0.311,-0.442,0.093,-0.49,-0.356,0.142,-0.076,-0.515
"P19338","NCL","NA","NA",-0.185,0.18,-0.05,0.12,0.027,0.162,-0.014,-0.252,0.153
"P19338","NCL","NA","NA",-0.513,0.058,-0.229,0.118,-0.132,0.086,-0.127,-0.142,-0.053
"P09405","Ncl","NA","NA",-0.513,0.058,-0.229,0.118,-0.132,0.086,-0.127,-0.142,-0.053
"Q9Y5W8","SNX13","NA","NA",-0.187,-0.054,-0.42,0.258,-0.528,-0.122,0.084,-0.053,-0.322
"P20962","PTMS","NA","NA",-0.181,0.386,0.44,0.178,0.379,0.293,0.063,-0.125,0.574
"Q9D0J8","Ptms","NA","NA",-0.181,0.386,0.44,0.178,0.379,0.293,0.063,-0.125,0.574
"P19338","NCL","NA","NA",-0.169,-0.043,0.012,-0.014,-0.022,0.212,-0.114,-0.208,-0.002
"Q9H7Z3","NRDE2","NA","NA",-0.047,-0.548,-0.77,0.177,-0.118,-0.632,1.28,-0.127,-0.726
"P19338","NCL","NA","NA",-0.512,-1.827,-1.501,-0.112,-2.758,-1.987,-0.671,-0.543,-1.764
"P40121","CAPG","NA","NA",-0.163,0.745,0.666,-0.019,0.697,0.618,0.227,0.06,0.698
"Q96JY6","PDLIM2","NA","NA",-0.179,-0.365,-0.141,0.144,-0.45,-0.176,-0.115,-0.008,-0.1
"Q8R1G6","Pdlim2","NA","NA",-0.179,-0.365,-0.141,0.144,-0.45,-0.176,-0.115,-0.008,-0.1
"O00635","TRIM38","NA","NA",0.054,-1.551,-1.729,0.114,-1.842,-1.341,0.414,0.011,-1.662
"P68133","ACTA1","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P62736","ACTA2","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P68032","ACTC1","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P63267","ACTG2","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"Q562R1","ACTBL2","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P63261","ACTG1","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P60709","ACTB","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P68033","Actc1","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P68134","Acta1","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P62737","Acta2","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P63268","Actg2","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"Q8BFZ3","Actbl2","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P60710","Actb","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"P63260","Actg1","NA","NA",-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
"O00299","CLIC1","NA","NA",-0.458,0.024,0.148,-0.02,0.159,0.025,0.052,-0.381,0.018
"Q9Z1Q5","Clic1","NA","NA",-0.458,0.024,0.148,-0.02,0.159,0.025,0.052,-0.381,0.018
"O76039","CDKL5","NA","NA",0.073,-0.341,-0.262,0.417,-0.714,-0.535,-0.238,-0.142,-0.601
"Q3UTQ8","Cdkl5","NA","NA",0.073,-0.341,-0.262,0.417,-0.714,-0.535,-0.238,-0.142,-0.601
"Q9GZZ1","NAA50","NA","NA",-0.223,-0.376,-0.543,0.1,-0.493,-0.32,-0.015,-0.091,-0.457
"Q6PGB6","Naa50","NA","NA",-0.223,-0.376,-0.543,0.1,-0.493,-0.32,-0.015,-0.091,-0.457
"P04406","GAPDH","NA","NA",-0.488,1.351,0.989,0.396,1.47,1.248,0.207,-0.034,1.237
"Q9JLI6","Scly","NA","NA",-0.311,-0.687,-0.966,0.259,-0.094,-0.634,-0.272,0.237,-0.621
"P06733","ENO1","NA","NA",-0.111,1.052,1.15,0.194,1.15,1.101,0.182,0.124,1.199
"P17182","Eno1","NA","NA",-0.111,1.052,1.15,0.194,1.15,1.101,0.182,0.124,1.199
"P26641","EEF1G","NA","NA",-0.135,0.638,0.206,0.326,0.752,0.547,0.161,-0.065,0.2
"A1A5B4","ANO9","NA","NA",-0.107,0.869,1.038,0.094,0.731,0.976,-0.201,0.027,1.03
"Q14061","COX17","NA","NA",-0.596,2.26,2.081,0.454,2.643,2.143,0.552,0.04,2.037
"P56394","Cox17","NA","NA",-0.596,2.26,2.081,0.454,2.643,2.143,0.552,0.04,2.037
"P38159","RBMX","NA","NA",-0.057,2.111,1.935,0.349,1.885,2.003,0.776,0.303,1.705
"Q96E39","RBMXL1","NA","NA",-0.057,2.111,1.935,0.349,1.885,2.003,0.776,0.303,1.705
"Q9WV02","Rbmx","NA","NA",-0.057,2.111,1.935,0.349,1.885,2.003,0.776,0.303,1.705
"Q91VM5","Rbmxl1","NA","NA",-0.057,2.111,1.935,0.349,1.885,2.003,0.776,0.303,1.705
"P18583","SON","NA","NA",-0.228,-0.169,-0.405,0.146,-0.387,-0.138,0.147,-0.277,-0.387
"Q9QX47","Son","NA","NA",-0.228,-0.169,-0.405,0.146,-0.387,-0.138,0.147,-0.277,-0.387
"P26583","HMGB2","NA","NA",-0.158,-1.199,-1.224,-0.026,-1.643,-0.969,0.003,-0.259,-0.979
"P30681","Hmgb2","NA","NA",-0.158,-1.199,-1.224,-0.026,-1.643,-0.969,0.003,-0.259,-0.979
"Q9Y673","ALG5","NA","NA",-0.268,-0.874,-1.001,-0.177,-1.062,-0.939,-0.193,-0.207,-1.06
"P49418","AMPH","NA","NA",0.004,-0.892,-1.19,0.052,-1.423,-0.919,0.487,0.099,-0.926
"Q7TQF7","Amph","NA","NA",0.004,-0.892,-1.19,0.052,-1.423,-0.919,0.487,0.099,-0.926
"P68104","EEF1A1","NA","NA",-0.105,0.496,0.252,0.394,0.455,0.393,0.138,0.059,0.474
"P10126","Eef1a1","NA","NA",-0.105,0.496,0.252,0.394,0.455,0.393,0.138,0.059,0.474
"P49327","FASN","NA","NA",-0.122,1.494,1.064,0.294,1.309,1.556,0.223,0.033,1.058
"P19338","NCL","NA","NA",-0.274,0.33,0.092,0.166,0.191,0.373,-0.031,0.003,0.022
"Q9ET78","Jph2","NA","NA",-0.339,-1.858,-2.474,-0.008,-2.18,-2.024,-0.05,-0.305,-2.503
"P62861","FAU","NA","NA",-0.064,-0.108,-0.196,0.176,-0.196,-0.004,0.145,0.002,-0.102
"P62862","Fau","NA","NA",-0.064,-0.108,-0.196,0.176,-0.196,-0.004,0.145,0.002,-0.102
"Q9H1E3","NUCKS1","NA","NA",-0.138,-0.308,-1,0.11,-0.684,-0.501,0.044,-0.057,-0.845
"P12270","TPR","NA","NA",-0.25,0.048,-0.264,0.113,0.198,-0.006,-0.297,-0.395,-0.064
"F6ZDS4","Tpr","NA","NA",-0.25,0.048,-0.264,0.113,0.198,-0.006,-0.297,-0.395,-0.064
"P05141","SLC25A5","NA","NA",-0.199,0.326,0.837,0.391,1.302,0.955,0.244,0.301,0.728
"P51881","Slc25a5","NA","NA",-0.199,0.326,0.837,0.391,1.302,0.955,0.244,0.301,0.728
"P40201","Chd1","NA","NA",-0.077,-0.471,-0.473,0.088,-0.646,-0.312,0.286,-0.13,-0.577
"Q921I1","Tf","NA","NA",-0.294,0.714,0.796,0.311,0.685,0.822,-0.017,-0.217,0.862
"P53004","BLVRA","NA","NA",-0.324,-0.559,-0.685,0.03,-0.71,-0.445,0.008,-0.26,-0.702
"Q9Y2K7","KDM2A","NA","NA",0.094,0.115,0.31,0.038,0.183,0.137,0.326,-0.024,0.376
"P09429","HMGB1","NA","NA",-0.141,0.311,0.113,0.158,0.301,0.384,0.166,0.15,0.161
"P26583","HMGB2","NA","NA",-0.141,0.311,0.113,0.158,0.301,0.384,0.166,0.15,0.161
"P63158","Hmgb1","NA","NA",-0.141,0.311,0.113,0.158,0.301,0.384,0.166,0.15,0.161
"P30681","Hmgb2","NA","NA",-0.141,0.311,0.113,0.158,0.301,0.384,0.166,0.15,0.161
"Q99879","H2BC14","NA","NA",-0.346,0.177,-0.035,0.117,-0.054,0.312,0.182,-0.243,-0.01
"O75586","MED6","NA","NA",-0.438,-0.774,-1.127,0.14,-1.239,-0.898,-0.127,-0.115,-1.175
"Q921D4","Med6","NA","NA",-0.438,-0.774,-1.127,0.14,-1.239,-0.898,-0.127,-0.115,-1.175
"Q9Y3I0","RTCB","NA","NA",0.033,0.537,0.183,0.198,0.607,0.492,0.257,0.039,0.331
"Q99LF4","Rtcb","NA","NA",0.033,0.537,0.183,0.198,0.607,0.492,0.257,0.039,0.331
"P05787","KRT8","NA","NA",-0.346,1.583,1.393,0.438,1.634,1.729,0.385,0.008,1.412
"P11679","Krt8","NA","NA",-0.346,1.583,1.393,0.438,1.634,1.729,0.385,0.008,1.412
"P33778","H2BC3","NA","NA",-0.421,-0.494,-1.2,-0.068,-0.862,-0.859,-0.087,-0.166,-0.825
"Q9D2U9","H2bu2","NA","NA",-0.421,-0.494,-1.2,-0.068,-0.862,-0.859,-0.087,-0.166,-0.825
"Q64478","H2bc9","NA","NA",-0.421,-0.494,-1.2,-0.068,-0.862,-0.859,-0.087,-0.166,-0.825
"P17066","HSPA6","NA","NA",-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
"P0DMV8","HSPA1A","NA","NA",-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
"P0DMV9","HSPA1B","NA","NA",-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
"P17879","Hspa1b","NA","NA",-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
"P16627","Hspa1l","NA","NA",-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
"Q61696","Hspa1a","NA","NA",-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
"Q96N64","PWWP2A","NA","NA",-0.631,-0.232,-0.625,-0.062,-0.569,-0.293,-0.361,-0.644,-0.718
"Q69Z61","Pwwp2a","NA","NA",-0.631,-0.232,-0.625,-0.062,-0.569,-0.293,-0.361,-0.644,-0.718
"P06748","NPM1","NA","NA",-0.523,0.521,-0.197,0.173,-0.113,0.517,-0.224,-0.288,-0.146
"P68133","ACTA1","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P62736","ACTA2","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P68032","ACTC1","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P63267","ACTG2","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P63261","ACTG1","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P60709","ACTB","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P68033","Actc1","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P68134","Acta1","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P62737","Acta2","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P63268","Actg2","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P60710","Actb","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"P63260","Actg1","NA","NA",-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
"Q5QNW6","H2BC18","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q96A08","H2BC1","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q16778","H2BC21","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q8N257","H2BC26","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q99879","H2BC14","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"P62807","H2BC4","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"P23527","H2BC17","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q99880","H2BC13","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"P33778","H2BC3","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"O60814","H2BC12","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"P06899","H2BC11","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q99877","H2BC15","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"P58876","H2BC5","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q93079","H2BC9","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q8CGP2","Hist1h2bp","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"P70696","H2bc1","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q64525","Hist2h2bb","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q64524","H2bc21","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q9D2U9","H2bu2","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q6ZWY9","H2bc4","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"P10854","H2bc14","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"P10853","H2bc7","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q8CGP1","H2bc12","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q64478","H2bc9","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q64475","H2bc3","NA","NA",-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q15233","NONO","NA","NA",-0.156,0.226,0.092,0.164,0.478,-0.004,0.757,-0.133,0.037
"Q99K48","Nono","NA","NA",-0.156,0.226,0.092,0.164,0.478,-0.004,0.757,-0.133,0.037
"Q15847","ADIRF","NA","NA",-0.271,1.752,1.836,0.492,2.037,1.805,0.573,0.655,1.862
"Q13442","PDAP1","NA","NA",-0.196,-1.147,-1.004,0.028,-0.359,-0.903,-0.409,0.07,-0.293
"Q3UHX2","Pdap1","NA","NA",-0.196,-1.147,-1.004,0.028,-0.359,-0.903,-0.409,0.07,-0.293
"P07814","EPRS1","NA","NA",-0.212,0.13,-0.069,0.157,0.236,0.174,0.275,-0.08,-0.1
"Q8CGC7","Eprs1","NA","NA",-0.212,0.13,-0.069,0.157,0.236,0.174,0.275,-0.08,-0.1
"P05204","HMGN2","NA","NA",-0.365,-2.181,-2.302,0.099,-3.016,-1.931,-0.207,-0.096,-2.409
"P09602","Hmgn2","NA","NA",-0.365,-2.181,-2.302,0.099,-3.016,-1.931,-0.207,-0.096,-2.409
"P33778","H2BC3","NA","NA",0.254,-0.515,1.192,0.171,-0.287,1.182,0.277,4.13,0.108
"Q99877","H2BC15","NA","NA",0.254,-0.515,1.192,0.171,-0.287,1.182,0.277,4.13,0.108
"Q64475","H2bc3","NA","NA",0.254,-0.515,1.192,0.171,-0.287,1.182,0.277,4.13,0.108
"Q96RL7","VPS13A","NA","NA",-0.242,1.368,1.484,0.255,1.322,1.469,0.07,-0.031,1.603
"P58876","H2BC5","NA","NA",1.553,0.704,0.529,0.983,0.759,0.311,0.353,0.024,1.34
"P10854","H2bc14","NA","NA",1.553,0.704,0.529,0.983,0.759,0.311,0.353,0.024,1.34
"Q15596","NCOA2","NA","NA",-0.075,0.206,0.171,0.043,0.355,0.198,0.129,0.042,0.092
"P09651","HNRNPA1","NA","NA",-0.096,-0.031,-0.285,0.147,-0.185,0.047,0.22,-0.185,-0.293
"Q32P51","HNRNPA1L2","NA","NA",-0.096,-0.031,-0.285,0.147,-0.185,0.047,0.22,-0.185,-0.293
