accession_numbers,log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.
NP_476429,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_149034,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_000415,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_778253,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_005546,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_005545,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_775109,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_004684,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_778238,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_787028,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_778223,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_258259,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_542785,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_001243211,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_002264,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_005547,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_001139698,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_034798,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_032499,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_032500,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_001028349,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_081287,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_001003667,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_034799,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_032502,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_579935,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_997650,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_808385,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_666175,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_032501,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_064340,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_998893,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_112447,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_149064,-0.35,0.154,-0.211,-0.092,0.331,-0.01,0.55,-0.145,-0.008
NP_001952,-0.009,0.126,0.071,0.336,0.106,0.162,0.181,-0.003,0.097
NP_031933,-0.009,0.126,0.071,0.336,0.106,0.162,0.181,-0.003,0.097
NP_001098662,-0.303,0.072,0.054,0.221,-0.251,0.153,-0.076,-0.098,-0.122
NP_001077397,-0.303,0.072,0.054,0.221,-0.251,0.153,-0.076,-0.098,-0.122
NP_000364,-0.333,-0.394,-0.631,-0.058,-1.243,-0.606,-0.153,-0.206,-0.94
NP_001002858,0.056,0.756,0.617,0.244,0.92,0.836,0.372,1.102,0.724
NP_001129487,0.056,0.756,0.617,0.244,0.92,0.836,0.372,1.102,0.724
NP_031611,0.056,0.756,0.617,0.244,0.92,0.836,0.372,1.102,0.724
NP_001002858,-0.351,1.205,0.96,-0.196,1.143,1.202,0.012,-0.326,1.117
NP_001129487,-0.351,1.205,0.96,-0.196,1.143,1.202,0.012,-0.326,1.117
NP_055392,-0.102,-0.073,-0.128,0.13,0.321,-0.145,0.258,-0.003,0.1
NP_001028446,-0.102,-0.073,-0.128,0.13,0.321,-0.145,0.258,-0.003,0.1
NP_001012300,-0.092,-0.443,-0.522,0.086,-0.58,-0.302,-0.001,-0.142,-0.74
NP_006328,-0.092,-0.443,-0.522,0.086,-0.58,-0.302,-0.001,-0.142,-0.74
NP_058046,-0.092,-0.443,-0.522,0.086,-0.58,-0.302,-0.001,-0.142,-0.74
NP_001157628,-0.092,-0.443,-0.522,0.086,-0.58,-0.302,-0.001,-0.142,-0.74
NP_001026859,-0.384,0.324,0.328,0.099,0.275,0.319,0.121,0.103,0.324
NP_115949,-0.32,-0.385,-0.249,-0.172,-0.477,-0.256,0.064,-0.482,-0.507
NP_001153686,-0.32,-0.385,-0.249,-0.172,-0.477,-0.256,0.064,-0.482,-0.507
NP_997594,-0.32,-0.385,-0.249,-0.172,-0.477,-0.256,0.064,-0.482,-0.507
NP_005372,-0.09,-0.151,-0.089,0.222,-0.207,-0.012,-0.008,0.006,-0.201
NP_035010,-0.09,-0.151,-0.089,0.222,-0.207,-0.012,-0.008,0.006,-0.201
NP_004427,-0.539,-0.337,-0.264,0.081,-0.442,-0.21,0.066,-0.482,-0.247
NP_996929,-0.539,-0.337,-0.264,0.081,-0.442,-0.21,0.066,-0.482,-0.247
NP_996927,-0.539,-0.337,-0.264,0.081,-0.442,-0.21,0.066,-0.482,-0.247
NP_996930,-0.539,-0.337,-0.264,0.081,-0.442,-0.21,0.066,-0.482,-0.247
NP_006619,-0.539,-0.337,-0.264,0.081,-0.442,-0.21,0.066,-0.482,-0.247
NP_001136127,-0.539,-0.337,-0.264,0.081,-0.442,-0.21,0.066,-0.482,-0.247
NP_062507,-0.539,-0.337,-0.264,0.081,-0.442,-0.21,0.066,-0.482,-0.247
NP_001021383,-0.539,-0.337,-0.264,0.081,-0.442,-0.21,0.066,-0.482,-0.247
NP_067523,-0.539,-0.337,-0.264,0.081,-0.442,-0.21,0.066,-0.482,-0.247
NP_073593,-0.175,-0.778,-0.844,0.037,-0.899,-0.58,0.063,0.062,-0.989
NP_001257805,-0.175,-0.778,-0.844,0.037,-0.899,-0.58,0.063,0.062,-0.989
NP_001257804,-0.175,-0.778,-0.844,0.037,-0.899,-0.58,0.063,0.062,-0.989
NP_081586,-0.175,-0.778,-0.844,0.037,-0.899,-0.58,0.063,0.062,-0.989
NP_005156,0.1,0.189,0.182,0.126,0.042,0.183,0.425,0.053,0.152
NP_002532,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_001158508,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_060715,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_001137468,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_001137469,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_001003941,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_001239211,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_001239212,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_001074599,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_035086,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_001239217,-0.034,-0.614,-0.872,0.024,-1.134,-0.561,-0.162,-0.131,-0.979
NP_003452,-0.301,0.377,0.401,0.108,0.261,0.542,0.555,0.189,0.6
NP_000959,-0.194,-0.032,-0.184,0.227,-0.227,-0.013,0.469,0.02,-0.092
NP_005944,1.44,2.647,2.022,1.037,2.582,1.323,1.187,-0.359,1.747
NP_001949,-0.1,0.127,0.055,0.168,0.109,0.248,0.118,0.13,0.216
NP_001393,-0.1,0.127,0.055,0.168,0.109,0.248,0.118,0.13,0.216
NP_031932,-0.1,0.127,0.055,0.168,0.109,0.248,0.118,0.13,0.216
NP_034236,-0.1,0.127,0.055,0.168,0.109,0.248,0.118,0.13,0.216
NP_003473,-0.493,0.076,-0.101,-0.139,-0.161,0.041,-0.154,-0.182,-0.083
NP_613258,-0.22,0.142,-0.066,0.072,-0.098,0.097,-0.014,-0.026,0.062
NP_004884,-0.22,0.142,-0.066,0.072,-0.098,0.097,-0.014,-0.026,0.062
NP_613075,-0.22,0.142,-0.066,0.072,-0.098,0.097,-0.014,-0.026,0.062
NP_036145,-0.22,0.142,-0.066,0.072,-0.098,0.097,-0.014,-0.026,0.062
NP_001152985,-0.22,0.142,-0.066,0.072,-0.098,0.097,-0.014,-0.026,0.062
NP_001152986,-0.22,0.142,-0.066,0.072,-0.098,0.097,-0.014,-0.026,0.062
NP_001152987,-0.22,0.142,-0.066,0.072,-0.098,0.097,-0.014,-0.026,0.062
NP_000962,-0.456,-0.369,-0.634,0.011,-0.584,-0.257,-0.18,-0.24,-0.885
NP_035421,-0.456,-0.369,-0.634,0.011,-0.584,-0.257,-0.18,-0.24,-0.885
NP_004990,-0.111,0.695,0.594,0.205,0.618,0.614,0.326,0.066,0.584
NP_001034635,-0.111,0.695,0.594,0.205,0.618,0.614,0.326,0.066,0.584
NP_002464,-0.09,2.331,2.073,0.385,2.573,2.251,0.673,0.12,2.178
NP_032280,-0.398,-0.159,-0.207,-0.095,-0.122,0.099,-0.111,0.28,-0.248
NP_001193725,0.018,1.269,1.035,0.427,1.517,1.304,0.412,0.225,1.265
NP_001193728,0.018,1.269,1.035,0.427,1.517,1.304,0.412,0.225,1.265
NP_872270,0.018,1.269,1.035,0.427,1.517,1.304,0.412,0.225,1.265
NP_002645,0.018,1.269,1.035,0.427,1.517,1.304,0.412,0.225,1.265
NP_001193727,0.018,1.269,1.035,0.427,1.517,1.304,0.412,0.225,1.265
NP_001193726,0.018,1.269,1.035,0.427,1.517,1.304,0.412,0.225,1.265
NP_035229,0.018,1.269,1.035,0.427,1.517,1.304,0.412,0.225,1.265
NP_001240812,0.018,1.269,1.035,0.427,1.517,1.304,0.412,0.225,1.265
NP_001024,-0.213,0.292,-0.004,0.07,0.117,0.297,0.248,0.133,0.16
NP_003371,-0.151,1.073,1.071,0.383,1.025,0.604,0.731,0.168,1.037
NP_001166925,0.106,0.662,0.606,0.163,0.497,0.857,-0.013,-0.099,0.611
NP_001166926,0.106,0.662,0.606,0.163,0.497,0.857,-0.013,-0.099,0.611
NP_000275,0.106,0.662,0.606,0.163,0.497,0.857,-0.013,-0.099,0.611
NP_001166927,0.106,0.662,0.606,0.163,0.497,0.857,-0.013,-0.099,0.611
NP_032836,0.106,0.662,0.606,0.163,0.497,0.857,-0.013,-0.099,0.611
NP_001709,-0.493,0.882,0.616,0.208,0.487,0.89,-0.071,-0.083,0.586
NP_031582,-0.493,0.882,0.616,0.208,0.487,0.89,-0.071,-0.083,0.586
NP_005403,-0.284,0.77,0.311,0.319,0.692,0.888,0.282,-0.004,0.226
NP_001159828,-0.284,0.77,0.311,0.319,0.692,0.888,0.282,-0.004,0.226
NP_001159829,-0.284,0.77,0.311,0.319,0.692,0.888,0.282,-0.004,0.226
NP_082506,-0.284,0.77,0.311,0.319,0.692,0.888,0.282,-0.004,0.226
NP_001239245,-0.284,0.77,0.311,0.319,0.692,0.888,0.282,-0.004,0.226
NP_003304,-0.178,2.472,2.157,0.828,2.854,2.692,0.95,0.055,2.173
NP_002296,0.058,0.796,0.65,0.234,0.83,0.818,0.118,0.471,0.741
NP_945344,-0.187,-1.089,-1.304,0.147,-1.106,-0.985,-0.027,0.034,-1.288
NP_001070020,-0.359,-0.714,-0.688,-0.095,-0.683,-0.7,-0.132,-0.339,-0.771
NP_061147,-0.359,-0.714,-0.688,-0.095,-0.683,-0.7,-0.132,-0.339,-0.771
NP_001229322,-0.359,-0.714,-0.688,-0.095,-0.683,-0.7,-0.132,-0.339,-0.771
NP_079031,-0.09,0.303,0.111,0.043,0.049,0.294,0.356,0.021,0.062
NP_001013865,-0.09,0.303,0.111,0.043,0.049,0.294,0.356,0.021,0.062
NP_005925,-0.071,-0.295,-0.671,0.005,-0.71,-0.48,0.015,-0.221,-0.503
NP_003473,-0.145,-0.29,-0.571,0.211,-0.338,-0.169,0.041,-0.102,-0.508
NP_001028448,-0.145,-0.29,-0.571,0.211,-0.338,-0.169,0.041,-0.102,-0.508
NP_005959,-0.396,-0.159,-0.118,0.007,-0.227,0.014,-0.156,0.15,-0.295
NP_112480,-0.396,-0.159,-0.118,0.007,-0.227,0.014,-0.156,0.15,-0.295
NP_006073,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_006000,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_525125,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_116093,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_005991,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_001265481,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_001257329,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_035784,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_035783,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_033475,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_033474,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_033473,0.447,0.218,0.3,0.312,0.299,0.249,0.36,0.745,0.08
NP_005057,-0.258,0.191,-0.142,0.145,-0.09,0.075,0.292,0.089,-0.179
NP_001609,-0.077,-0.395,-0.67,0.048,-0.13,-0.535,0.268,-0.144,-0.655
NP_031441,-0.077,-0.395,-0.67,0.048,-0.13,-0.535,0.268,-0.144,-0.655
NP_001419,-0.132,1.035,0.733,0.206,0.839,0.943,0.808,0.316,0.883
NP_001188412,-0.132,1.035,0.733,0.206,0.839,0.943,0.808,0.316,0.883
NP_075608,-0.132,1.035,0.733,0.206,0.839,0.943,0.808,0.316,0.883
NP_035635,-0.132,1.035,0.733,0.206,0.839,0.943,0.808,0.316,0.883
NP_659152,-0.132,1.035,0.733,0.206,0.839,0.943,0.808,0.316,0.883
NP_001146,-0.167,0.098,-0.19,-0.094,-0.129,0.033,0.104,-0.112,-0.051
NP_001180473,-0.167,0.098,-0.19,-0.094,-0.129,0.033,0.104,-0.112,-0.051
NP_038500,-0.167,0.098,-0.19,-0.094,-0.129,0.033,0.104,-0.112,-0.051
NP_001103681,-0.167,0.098,-0.19,-0.094,-0.129,0.033,0.104,-0.112,-0.051
NP_002119,-0.25,0.186,-0.127,0.081,0.3,0.026,0.402,0.004,-0.023
NP_001124160,-0.25,0.186,-0.127,0.081,0.3,0.026,0.402,0.004,-0.023
NP_034569,-0.25,0.186,-0.127,0.081,0.3,0.026,0.402,0.004,-0.023
NP_032278,-0.25,0.186,-0.127,0.081,0.3,0.026,0.402,0.004,-0.023
NP_004068,0.062,0.616,0.572,0.252,0.464,0.745,0.3,0.14,0.627
NP_082221,0.062,0.616,0.572,0.252,0.464,0.745,0.3,0.14,0.627
NP_080720,0.062,0.616,0.572,0.252,0.464,0.745,0.3,0.14,0.627
NP_054829,-0.312,-0.217,-0.375,0.081,-0.366,-0.082,0.124,-0.005,-0.27
NP_612568,-0.312,-0.217,-0.375,0.081,-0.366,-0.082,0.124,-0.005,-0.27
NP_002704,-0.312,-0.217,-0.375,0.081,-0.366,-0.082,0.124,-0.005,-0.27
NP_666266,-0.312,-0.217,-0.375,0.081,-0.366,-0.082,0.124,-0.005,-0.27
NP_000678,0.466,-0.458,-0.618,0.415,-0.834,-0.334,0.217,0.062,-0.422
NP_057870,0.466,-0.458,-0.618,0.415,-0.834,-0.334,0.217,0.062,-0.422
NP_055051,-0.115,1.905,1.737,0.538,1.717,1.862,0.486,0.287,1.696
NP_034452,-0.115,1.905,1.737,0.538,1.717,1.862,0.486,0.287,1.696
NP_002159,-0.212,0.372,-0.083,-0.043,0.261,0.203,-0.19,0.602,-0.023
NP_733751,-0.137,-1.29,-1.654,0.002,-1.276,-1.118,0.039,-0.22,-1.581
NP_001074852,-0.137,-1.29,-1.654,0.002,-1.276,-1.118,0.039,-0.22,-1.581
NP_055642,-0.022,-0.354,-0.575,0.061,-0.318,-0.271,0.347,0.054,-0.239
NP_001258604,-0.022,-0.354,-0.575,0.061,-0.318,-0.271,0.347,0.054,-0.239
NP_653113,-0.022,-0.354,-0.575,0.061,-0.318,-0.271,0.347,0.054,-0.239
NP_000959,-0.328,0.373,0.451,0.246,0.221,0.505,0.523,-0.226,0.489
NP_060090,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_036350,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_001131145,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_004507,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_703194,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_034691,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_001264250,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_001036172,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_001036173,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_001036174,-0.208,0.183,0.124,0.255,0.384,0.215,0.113,0.078,-0.027
NP_002957,-0.222,1.535,1.353,0.37,1.851,1.199,0.37,0.088,1.363
NP_033138,-0.222,1.535,1.353,0.37,1.851,1.199,0.37,0.088,1.363
NP_733821,0.067,0.46,0.466,0.301,0.213,0.548,0.245,0.331,0.524
NP_733822,0.067,0.46,0.466,0.301,0.213,0.548,0.245,0.331,0.524
NP_001244303,0.067,0.46,0.466,0.301,0.213,0.548,0.245,0.331,0.524
NP_005563,0.067,0.46,0.466,0.301,0.213,0.548,0.245,0.331,0.524
NP_001002011,0.067,0.46,0.466,0.301,0.213,0.548,0.245,0.331,0.524
NP_001104572,0.067,0.46,0.466,0.301,0.213,0.548,0.245,0.331,0.524
NP_062263,0.067,0.46,0.466,0.301,0.213,0.548,0.245,0.331,0.524
NP_005554,-0.367,-1.161,-1.355,0.009,-1.619,-1.342,-0.03,-0.215,-1.308
NP_001120825,-0.508,-0.218,-0.424,-0.084,-0.22,-0.11,-0.302,-0.301,-0.507
NP_001171669,0.072,1.119,1.33,0.192,1.251,1.084,0.651,0.148,1.323
NP_005222,0.072,1.119,1.33,0.192,1.251,1.084,0.651,0.148,1.323
NP_612632,0.072,1.119,1.33,0.192,1.251,1.084,0.651,0.148,1.323
NP_031829,0.072,1.119,1.33,0.192,1.251,1.084,0.651,0.148,1.323
NP_001239501,0.072,1.119,1.33,0.192,1.251,1.084,0.651,0.148,1.323
NP_733762,-0.245,1.772,1.398,0.279,2.153,1.806,0.338,0.129,1.495
NP_067022,-0.245,1.772,1.398,0.279,2.153,1.806,0.338,0.129,1.495
NP_001028410,-0.245,1.772,1.398,0.279,2.153,1.806,0.338,0.129,1.495
NP_001155975,-0.245,1.772,1.398,0.279,2.153,1.806,0.338,0.129,1.495
NP_114032,0.142,1.398,1.16,0.553,1.085,0.921,0.255,0.328,1.031
NP_004492,0.142,1.398,1.16,0.553,1.085,0.921,0.255,0.328,1.031
NP_058085,0.142,1.398,1.16,0.553,1.085,0.921,0.255,0.328,1.031
NP_000182,-0.054,0.931,0.715,0.448,1.042,1.011,0.228,0.339,0.775
NP_001159531,-0.054,0.931,0.715,0.448,1.042,1.011,0.228,0.339,0.775
NP_000174,-0.222,0,-0.487,0.083,-0.516,-0.029,-0.047,-0.151,-0.357
NP_663533,-0.222,0,-0.487,0.083,-0.516,-0.029,-0.047,-0.151,-0.357
NP_859048,-0.101,-0.113,-0.224,0.111,0.097,0.022,0.126,-0.056,-0.153
NP_004125,-0.228,0.62,0.345,0.201,0.606,0.552,0.16,-0.102,0.22
NP_034611,-0.228,0.62,0.345,0.201,0.606,0.552,0.16,-0.102,0.22
NP_003474,-0.383,1.176,1.808,0.357,1.268,1.239,0.345,-0.112,1.796
NP_034571,-0.383,1.176,1.808,0.357,1.268,1.239,0.345,-0.112,1.796
NP_004095,-0.179,0.224,0.213,0.228,0.099,0.251,0.05,0.064,0.101
NP_005753,-0.081,0.403,0.412,0.133,0.693,0.614,0.36,0.033,0.374
NP_035718,-0.081,0.403,0.412,0.133,0.693,0.614,0.36,0.033,0.374
NP_005372,0.088,-0.217,-0.355,0.14,-0.249,-0.089,0.23,-0.099,-0.273
NP_005518,-0.303,-0.139,-0.157,0.003,0.234,0.049,0.135,-0.418,-0.341
NP_005337,-0.303,-0.139,-0.157,0.003,0.234,0.049,0.135,-0.418,-0.341
NP_034608,-0.303,-0.139,-0.157,0.003,0.234,0.049,0.135,-0.418,-0.341
NP_038586,-0.303,-0.139,-0.157,0.003,0.234,0.049,0.135,-0.418,-0.341
NP_034609,-0.303,-0.139,-0.157,0.003,0.234,0.049,0.135,-0.418,-0.341
NP_695012,-0.221,0.395,0.52,0.176,0.494,0.533,0.295,0.401,0.485
NP_001171651,-0.442,-0.313,-0.407,0.053,-0.2,-0.093,0.206,-0.076,-0.539
NP_000166,-0.442,-0.313,-0.407,0.053,-0.2,-0.093,0.206,-0.076,-0.539
NP_057081,0.335,1.167,0.855,0.411,0.191,1.318,0.962,0.704,0.878
NP_001136032,0.335,1.167,0.855,0.411,0.191,1.318,0.962,0.704,0.878
NP_033784,0.069,1.224,1.209,0.336,1.074,1.291,0.39,0.611,1.367
NP_003283,-0.149,0.363,0.03,0.176,0.42,0.24,0.087,-0.203,-0.053
NP_598541,-0.149,0.363,0.03,0.176,0.42,0.24,0.087,-0.203,-0.053
NP_060943,-0.605,0.101,0.068,0.022,0.215,0.35,-0.014,-0.397,-0.007
NP_001153566,-0.605,0.101,0.068,0.022,0.215,0.35,-0.014,-0.397,-0.007
NP_689476,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001138632,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_003280,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_998839,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_705935,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001036816,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001265118,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_003281,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001036817,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001036818,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001265117,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001265120,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_071709,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001264804,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001264805,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_033442,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001157723,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_077745,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001157722,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001157721,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001157720,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001157727,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001240669,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001258693,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001240667,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001001491,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001157725,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001157724,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001157726,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_001157728,-0.084,-0.735,-0.48,0.118,-0.337,-0.776,-0.224,-0.522,-0.758
NP_006347,-0.145,1.007,0.648,0.262,1.25,1.015,0.218,-0.056,0.654
NP_076943,-0.431,0.129,-0.343,0.025,-0.442,0.017,0.189,-0.557,-0.329
NP_081036,-0.431,0.129,-0.343,0.025,-0.442,0.017,0.189,-0.557,-0.329
NP_005509,0.059,0.383,0.436,0.211,0.69,0.827,0.486,0.282,0.465
NP_001159579,0.059,0.383,0.436,0.211,0.69,0.827,0.486,0.282,0.465
NP_056510,-0.262,0.148,0.117,0.175,0.199,0.376,0.135,-0.027,0.14
NP_001019,-0.227,-0.056,-0.01,0.258,-0.113,0.224,0.091,-0.154,-0.046
NP_077228,-0.227,-0.056,-0.01,0.258,-0.113,0.224,0.091,-0.154,-0.046
NP_006588,0.013,0.277,0.155,0.221,0.333,0.298,0.158,-0.038,0.093
NP_068814,0.013,0.277,0.155,0.221,0.333,0.298,0.158,-0.038,0.093
NP_694881,0.013,0.277,0.155,0.221,0.333,0.298,0.158,-0.038,0.093
NP_112442,0.013,0.277,0.155,0.221,0.333,0.298,0.158,-0.038,0.093
NP_683725,0.076,1.302,1.082,0.476,1.545,1.265,0.541,0.335,0.967
NP_001177736,0.076,1.302,1.082,0.476,1.545,1.265,0.541,0.335,0.967
NP_001905,0.076,1.302,1.082,0.476,1.545,1.265,0.541,0.335,0.967
NP_005330,-0.375,0.489,0.227,0.174,0.481,0.519,0.111,-0.18,0.196
NP_001104582,-0.375,0.489,0.227,0.174,0.481,0.519,0.111,-0.18,0.196
NP_001104583,-0.375,0.489,0.227,0.174,0.481,0.519,0.111,-0.18,0.196
