accession_numbers,log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.
NP_001157703,-0.302,0.034,-0.15,0.013,-0.166,0.053,-0.073,-0.138,-0.074
NP_001025153,0.099,0.205,-0.078,0.48,-0.246,0.106,0.171,0.053,0.184
NP_001154806,-0.214,-0.901,-0.916,0.133,-1.177,-0.827,-0.06,-0.308,-0.911
NP_001019770,-0.214,-0.901,-0.916,0.133,-1.177,-0.827,-0.06,-0.308,-0.911
NP_783597,-0.214,-0.901,-0.916,0.133,-1.177,-0.827,-0.06,-0.308,-0.911
NP_002511,-0.589,0.911,0.587,0.317,0.821,0.902,0.256,0.003,0.656
NP_954654,-0.589,0.911,0.587,0.317,0.821,0.902,0.256,0.003,0.656
NP_001032827,-0.589,0.911,0.587,0.317,0.821,0.902,0.256,0.003,0.656
NP_006861,-0.533,1.251,0.39,0.182,1.192,1.235,-0.216,-0.31,0.676
NP_001011546,-0.533,1.251,0.39,0.182,1.192,1.235,-0.216,-0.31,0.676
NP_002037,-0.125,1.62,1.582,0.353,1.778,1.579,0.33,-0.127,1.543
NP_001243728,-0.125,1.62,1.582,0.353,1.778,1.579,0.33,-0.127,1.543
NP_032110,-0.125,1.62,1.582,0.353,1.778,1.579,0.33,-0.127,1.543
NP_002097,-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
NP_036544,-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
NP_619541,-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
NP_958925,-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
NP_958924,-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
NP_058030,-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
NP_084214,-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
NP_066953,-0.187,0.101,0.198,0.123,0.246,0.185,0.092,-0.216,0.183
NP_001092755,-0.202,-0.318,-0.377,0.154,-0.432,-0.218,0.094,0.005,-0.291
NP_002814,-0.202,-0.318,-0.377,0.154,-0.432,-0.218,0.094,0.005,-0.291
NP_032998,-0.202,-0.318,-0.377,0.154,-0.432,-0.218,0.094,0.005,-0.291
NP_001154806,-0.298,-0.846,-1.027,0.079,-1.431,-0.769,-0.084,-0.266,-1.36
NP_001019770,-0.298,-0.846,-1.027,0.079,-1.431,-0.769,-0.084,-0.266,-1.36
NP_003518,-0.298,-0.846,-1.027,0.079,-1.431,-0.769,-0.084,-0.266,-1.36
NP_003515,-0.298,-0.846,-1.027,0.079,-1.431,-0.769,-0.084,-0.266,-1.36
NP_783597,-0.298,-0.846,-1.027,0.079,-1.431,-0.769,-0.084,-0.266,-1.36
NP_005436,-0.216,-0.309,-0.304,0.073,-0.48,-0.418,0.083,-0.238,-0.437
NP_031816,-0.216,-0.309,-0.304,0.073,-0.48,-0.418,0.083,-0.238,-0.437
NP_032246,0.041,-0.446,-0.332,0.189,-0.256,-0.087,0.204,0.054,-0.184
NP_006704,-0.19,-0.605,-0.732,0.098,-0.861,-0.581,0.066,-0.219,-0.587
NP_079422,-0.274,-0.716,-0.484,0.008,-1.081,-0.535,-0.091,-0.194,-0.726
NP_082384,-0.274,-0.716,-0.484,0.008,-1.081,-0.535,-0.091,-0.194,-0.726
XP_003846738,-0.182,0.046,0.151,0.061,-0.416,0.031,-0.131,-0.143,0.07
NP_005508,-0.182,0.046,0.151,0.061,-0.416,0.031,-0.131,-0.143,0.07
NP_058653,-0.182,0.046,0.151,0.061,-0.416,0.031,-0.131,-0.143,0.07
NP_001137232,-0.028,-0.848,-0.897,0.008,-0.945,-0.981,0.058,-0.138,-1.146
NP_001961,-0.028,-0.848,-0.897,0.008,-0.945,-0.981,0.058,-0.138,-1.146
NP_065123,-0.028,-0.848,-0.897,0.008,-0.945,-0.981,0.058,-0.138,-1.146
NP_001160064,-0.028,-0.848,-0.897,0.008,-0.945,-0.981,0.058,-0.138,-1.146
NP_808254,-0.028,-0.848,-0.897,0.008,-0.945,-0.981,0.058,-0.138,-1.146
NP_008937,-0.031,-0.311,-0.442,0.093,-0.49,-0.356,0.142,-0.076,-0.515
NP_005372,-0.185,0.18,-0.05,0.12,0.027,0.162,-0.014,-0.252,0.153
NP_005372,-0.513,0.058,-0.229,0.118,-0.132,0.086,-0.127,-0.142,-0.053
NP_035010,-0.513,0.058,-0.229,0.118,-0.132,0.086,-0.127,-0.142,-0.053
NP_055947,-0.187,-0.054,-0.42,0.258,-0.528,-0.122,0.084,-0.053,-0.322
NP_002815,-0.181,0.386,0.44,0.178,0.379,0.293,0.063,-0.125,0.574
NP_081264,-0.181,0.386,0.44,0.178,0.379,0.293,0.063,-0.125,0.574
NP_005372,-0.169,-0.043,0.012,-0.014,-0.022,0.212,-0.114,-0.208,-0.002
NP_060440,-0.047,-0.548,-0.77,0.177,-0.118,-0.632,1.28,-0.127,-0.726
NP_005372,-0.512,-1.827,-1.501,-0.112,-2.758,-1.987,-0.671,-0.543,-1.764
NP_001738,-0.163,0.745,0.666,-0.019,0.697,0.618,0.227,0.06,0.698
NP_001243069,-0.163,0.745,0.666,-0.019,0.697,0.618,0.227,0.06,0.698
NP_067643,-0.179,-0.365,-0.141,0.144,-0.45,-0.176,-0.115,-0.008,-0.1
NP_789847,-0.179,-0.365,-0.141,0.144,-0.45,-0.176,-0.115,-0.008,-0.1
NP_666090,-0.179,-0.365,-0.141,0.144,-0.45,-0.176,-0.115,-0.008,-0.1
NP_006346,0.054,-1.551,-1.729,0.114,-1.842,-1.341,0.414,0.011,-1.662
NP_001091,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_001135417,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_005150,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_001606,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_001017992,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_001605,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_001092,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_001186822,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_033738,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
