Substrate_ACC,Substrate_GN,Cortex_1,Cortex_2,Cortex_3,PDGFRA_4,PDGFRA_5,PDGFRA_6,PDGFRA_7,NTRK_8,NTRK_9,NTRK_10
Q8K209,Gpr56,384452.553,419103.7573,452334.1847,477282.2511,519876.0652,459544.5936,504623.8758,663688.4736,696960.738,618278.8975
Q8BGT5,Gpt2,1110720.404,1154207.686,1173021.143,1520446.619,1589315.062,1640916.029,1562702.321,2087623.826,2278440.352,1628170.835
P46412,Gpx3,42313.01196,48352.39981,44352.76509,76061.75167,93117.8828,73799.26177,83984.86898,81923.08813,68038.05116,62858.73522
Q99LJ6,Gpx7,483309.8431,524427.3108,519471.4372,974158.1081,948494.5851,1042950.781,898875.0655,1457950.621,1455998.424,1143481.979
Q9D8T2,Gsdmdc1,114064.3049,111881.7773,112704.5281,158745.6593,153227.2837,188276.7375,167169.4985,265698.8331,242288.0585,236590.1039
Q9Z0R0,Gsg2,67603.14219,66458.92995,74268.60256,119753.502,114065.6458,128213.6413,115223.0321,159755.3594,179938.9586,124428.9594
Q5RL51,Gstcd,55505.04529,66566.38055,65441.45897,98140.01794,102574.1881,107090.056,88565.77713,133093.4192,160149.7756,108490.0005
Q9D0D5,Gtf2e1,102456.4882,109571.3382,108605.286,163622.087,164745.0004,169553.4143,148071.5702,185404.4963,173893.3314,145700.7033
Q9D902,Gtf2e2,220277.4233,257140.3687,220839.565,355841.9869,377481.7949,396439.8414,336407.3759,392523.7599,419834.4082,302324.4213
Q3THK3,Gtf2f1,164558.1987,168244.0377,167587.4477,232953.5752,219061.4825,237228.2429,223555.7862,247515.6762,256379.0253,205605.9654
Q8R0A0,Gtf2f2,302872.882,307161.524,317349.536,520053.0038,474895.0332,525097.3046,454072.4548,586394.8355,556095.4797,450845.2138
Q3UHU8,Gtf2i,981045.3535,1004502.518,1057952.521,1368346.024,1378344.388,1395044.225,1331828.667,1711938.234,1738063.596,1374051.6
Q8BL74,Gtf3c2,157126.1183,160988.5564,162894.6931,202979.7928,215566.3059,221468.8699,207278.6156,223171.6916,256895.7148,194126.893
Q8BMQ2,Gtf3c4,440725.2978,456166.743,449312.8924,610758.4223,588410.3338,634654.7822,574913.4582,718597.3313,737386.4187,592264.6724
Q9D8P7,Gtf3c6,57768.11876,64586.61347,61297.37159,84949.5707,81770.04126,91362.34864,77219.6695,89407.56801,95147.65767,79443.17121
