"Substrate_ACC","Substrate_GN","sites","Peptides","Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1..1","Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","Basal.breast.cancer.rep2.Basal.breast.cancer.rep1..1","Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1..1"
"P78527","PRKDC",NA,NA,-0.21,0.293,0.55,0.188,0.511,0.573,0.12,0.305,0.167
"P99999","CYCS",NA,NA,-0.197,0.292,0.076,0.401,0.534,0.355,0.372,0.027,0.253
"P04406","GAPDH",NA,NA,-0.517,0.727,0.328,0.232,1.097,0.854,-0.076,-0.464,0.449
"P11142","HSPA8",NA,NA,0.002,0.214,0.083,0.202,0.202,0.252,0.035,0.173,0.071
"P51610","HCFC1",NA,NA,-0.044,-0.332,-0.618,0.099,-0.231,-0.352,0.233,-0.218,-0.571
"Q04206","RELA",NA,NA,-0.115,0.347,0.216,0.146,0.246,0.425,0.2,0.074,0.264
"O14929","HAT1",NA,NA,-0.14,-1.447,-1.532,-0.051,-2.002,-1.418,-0.148,-0.275,-1.511
"P09622","DLD",NA,NA,-0.237,0.132,-0.155,-0.011,0.178,0.197,0.237,-0.304,-0.065
"P08670","VIM",NA,NA,-0.211,0.796,0.856,0.159,0.862,0.843,0.192,-0.146,0.918
"P04406","GAPDH",NA,NA,-0.272,1.007,1.027,0.379,1.271,1.12,0.145,0.327,0.934
"Q92922","SMARCC1",NA,NA,-0.08,-0.125,-0.325,0.173,-0.342,-0.226,0.46,0.077,-0.353
"Q15596","NCOA2",NA,NA,-0.457,0.351,0.021,-0.025,0.079,0.305,-0.191,-0.13,0.164
"P06748","NPM1",NA,NA,-0.086,1.144,0.792,0.352,1.279,1.069,0.455,0.253,0.862
"P62826","RAN",NA,NA,-0.143,0.17,0.161,0.133,0.472,0.358,0.189,-0.181,0.122
"P08670","VIM",NA,NA,-0.721,0.496,0.784,0.339,0.807,0.691,0.074,0.04,0.846
"P35579","MYH9",NA,NA,-0.26,0.79,0.494,0.171,0.768,0.766,0.214,-0.091,0.548
"P99999","CYCS",NA,NA,-0.034,0.246,0.284,0.029,0.761,0.437,0.306,0.056,0.274
"P63104","YWHAZ",NA,NA,-0.034,1.25,1.149,0.39,1.263,1.299,0.587,0.167,1.113
"P16401","H1-5",NA,NA,-0.236,-1.435,-1.816,0.077,-2.302,-1.167,0.429,-0.111,-1.581
"P39748","FEN1",NA,NA,-0.323,-0.977,-1.067,0.038,-1.466,-0.922,-0.266,-0.269,-1.093
"Q92922","SMARCC1",NA,NA,-0.145,-2.523,-2.739,-0.219,-3.302,-2.008,-0.161,-0.294,-2.886
"P08670","VIM",NA,NA,-0.278,0.258,0.238,0.117,0.148,0.329,-0.034,-0.075,0.234
"Q08211","DHX9",NA,NA,-0.312,-0.918,-0.893,0.215,-0.746,-0.757,-0.188,-0.224,-1.489
"Q16695","H3-4",NA,NA,0.017,0.202,-0.213,-0.123,-0.572,0.437,0.701,-0.011,-0.137
"P84243","H3-3A",NA,NA,0.017,0.202,-0.213,-0.123,-0.572,0.437,0.701,-0.011,-0.137
"P78527","PRKDC",NA,NA,-0.431,-0.114,-0.473,0.144,-0.057,-0.186,-0.129,-0.287,-0.57
"P63104","YWHAZ",NA,NA,-0.1,1.26,0.815,0.149,1.457,1.304,0.339,-0.051,1.049
"Q13263","TRIM28",NA,NA,-0.171,0.716,0.447,0.097,0.77,0.749,0.324,0.006,0.409
"P99999","CYCS",NA,NA,0.06,-0.086,-0.214,0.065,0.284,-0.123,0.536,0.209,-0.231
"P11142","HSPA8",NA,NA,-0.19,0.378,0.213,0.202,0.411,0.309,0.08,-0.02,0.311
"P78527","PRKDC",NA,NA,-0.319,-0.005,-0.16,0.132,0.052,0.146,-0.009,-0.138,-0.318
"P06748","NPM1",NA,NA,-0.329,0.888,0.931,-0.102,1.092,0.828,1.281,-0.6,1.001
"P63104","YWHAZ",NA,NA,-0.19,0.668,0.583,0.212,0.825,0.759,0.105,0.024,0.374
"P09622","DLD",NA,NA,-0.223,0.273,0.091,0.142,0.273,0.319,0.155,0.092,0.128
"P04406","GAPDH",NA,NA,0.097,0.386,0.37,0.313,0.449,0.516,0.258,-0.048,0.58
"P16403","H1-2",NA,NA,0.058,0.444,0.413,0.336,0.455,0.563,0.459,0.48,0.579
"Q02880","TOP2B",NA,NA,-0.158,-1.886,-2.299,0.099,-2.819,-1.755,0.186,-0.273,-2.228
"P16403","H1-2",NA,NA,-0.158,0.8,0.606,0.279,0.47,0.901,0.423,-0.141,0.714
"P35579","MYH9",NA,NA,-0.151,0.376,0.313,0.04,0.367,0.462,0.112,-0.074,0.312
"P16403","H1-2",NA,NA,-0.087,0.085,-0.064,0.204,0.066,0.113,0.202,0.029,-0.082
"P63167","DYNLL1",NA,NA,-0.235,-0.635,-0.896,0.126,-0.807,-0.608,0.146,-0.005,-0.805
"P63104","YWHAZ",NA,NA,-0.287,-2.301,-3.2,-0.002,-3.127,-2.438,-0.091,-0.238,-2.693
"Q09472","EP300",NA,NA,-0.365,0.013,-0.676,0.064,-0.392,-0.628,0.059,0.102,-0.675
"Q09472","EP300",NA,NA,-0.684,-0.02,-0.268,0.145,-0.307,-0.201,-0.265,-0.194,-0.348
"P63104","YWHAZ",NA,NA,-0.141,1.01,0.669,0.294,0.812,0.881,0.146,0.529,0.56
"P13010","XRCC5",NA,NA,-0.379,0.227,0.248,0.042,0.442,0.197,0.43,-0.074,0.215
"Q9UKV3","ACIN1",NA,NA,-0.284,0.207,-0.263,0.052,0.095,0.099,-0.118,-0.111,-0.136
"P06748","NPM1",NA,NA,-0.04,-2.294,-2.571,-0.036,-3.23,-2.104,-0.068,-0.049,-2.485
"Q13263","TRIM28",NA,NA,-0.28,0.626,0.653,0.162,0.942,0.755,0.211,-0.113,0.623
"P06748","NPM1",NA,NA,-0.04,-2.294,-2.571,-0.036,-3.23,-2.104,-0.068,-0.049,-2.485
"Q09472","EP300",NA,NA,-0.359,-0.373,-0.672,0.138,-0.503,-0.367,0.034,0.553,-0.757
"Q9HAF1","MEAF6",NA,NA,-0.175,-0.778,-0.844,0.037,-0.899,-0.58,0.063,0.062,-0.989
"O75367","MACROH2A1",NA,NA,-0.22,0.142,-0.066,0.072,-0.098,0.097,-0.014,-0.026,0.062
"P35579","MYH9",NA,NA,-0.09,2.331,2.073,0.385,2.573,2.251,0.673,0.12,2.178
"P08670","VIM",NA,NA,-0.151,1.073,1.071,0.383,1.025,0.604,0.731,0.168,1.037
"Q03111","MLLT1",NA,NA,-0.071,-0.295,-0.671,0.005,-0.71,-0.48,0.015,-0.221,-0.503
"Q13263","TRIM28",NA,NA,-0.081,0.403,0.412,0.133,0.693,0.614,0.36,0.033,0.374
"P11142","HSPA8",NA,NA,0.013,0.277,0.155,0.221,0.333,0.298,0.158,-0.038,0.093
"P78527","PRKDC",NA,NA,-0.293,0.166,-0.133,-0.021,0.188,0.077,-0.063,-0.257,-0.221
"P00367","GLUD1",NA,NA,-0.281,0.324,0.184,0.234,0.296,0.202,-0.211,-0.097,0.17
"P78527","PRKDC",NA,NA,-0.334,0.13,-0.38,0.201,-0.032,0.03,-0.075,-0.257,-0.331
"P00367","GLUD1",NA,NA,-0.067,0.62,0.471,0.27,0.675,0.765,0.066,0.101,0.516
"Q09472","EP300",NA,NA,-0.173,-1.754,-2.059,0.089,-2.787,-1.602,-0.363,-0.173,-2.188
"Q06330","RBPJ",NA,NA,-0.312,0.366,0.436,0.137,0.191,0.411,-0.059,-0.026,0.362
"P08670","VIM",NA,NA,-0.67,0.978,1.148,0.12,0.495,0.352,-0.217,-0.357,0.593
"O00330","PDHX",NA,NA,-0.263,-0.944,-1.55,0.248,-1.287,-1.192,-0.318,-0.275,-1.188
"P17844","DDX5",NA,NA,-0.272,0.142,-0.087,-0.012,-0.315,0.02,0.245,-0.289,-0.155
"P08670","VIM",NA,NA,-0.161,0.653,0.814,0.238,0.731,0.677,0.303,0.087,0.636
"P16403","H1-2",NA,NA,-0.024,-0.299,-0.592,0.146,-0.969,-0.454,0.438,0.055,-0.696
"Q9H0E9","BRD8",NA,NA,-0.453,-0.173,0.174,0.16,0.016,0.118,0.129,-0.119,-0.196
"O94776","MTA2",NA,NA,-0.172,-1.071,-1.784,-0.023,-1.716,-1.358,-0.167,-0.304,-1.912
"P11142","HSPA8",NA,NA,0.002,0.591,0.436,0.14,0.664,0.429,0.336,0.297,0.368
"Q96A08","H2BC1",NA,NA,-0.444,3.06,2.306,0.855,2.867,3.085,1.306,0.564,2.362
"P84243","H3-3A",NA,NA,0.384,0.717,0.748,0.046,0.418,0.886,1.228,1.754,0.85
"Q8WYB5","KAT6B",NA,NA,-0.077,-1.593,-1.574,-0.059,-1.788,-1.541,0.158,-0.105,-1.612
"P07900","HSP90AA1",NA,NA,-0.323,-0.016,-0.342,0.148,-0.068,0.102,0.082,0.119,-0.148
"Q13547","HDAC1",NA,NA,-0.574,-0.072,-0.162,-0.005,0.04,0.071,-0.34,-0.199,-0.411
"P78527","PRKDC",NA,NA,-0.575,0.331,-0.143,-0.195,0.456,0.15,0.146,-0.167,0.119
"P63104","YWHAZ",NA,NA,0.074,0.37,0.565,0.044,0.352,0.423,0.251,0.051,0.243
"Q9UER7","DAXX",NA,NA,0.368,-0.347,-0.238,0.065,-0.396,-0.341,0.245,-0.279,-0.564
"Q15843","NEDD8",NA,NA,-0.307,-0.289,-0.239,-0.027,-0.182,0.085,0.048,0.288,-0.279
"P51532","SMARCA4",NA,NA,-0.227,-0.502,-0.766,0.082,-0.861,-0.617,0.032,0.595,-0.996
"P04406","GAPDH",NA,NA,-0.323,0.789,0.738,0.211,1.013,0.842,0.316,-0.084,0.859
"Q03164","KMT2A",NA,NA,-0.166,-0.22,-0.078,0.412,0.148,0.344,0.62,3.261,0.147
"Q14151","SAFB2",NA,NA,-0.45,-0.659,-0.674,-0.047,-0.462,-0.452,-0.148,-0.326,-0.753
"P08670","VIM",NA,NA,0.861,1.785,1.954,0.495,1.973,2.104,1.558,1.214,1.964
"P99999","CYCS",NA,NA,-0.175,0.272,0.393,0.159,0.629,0.293,0.106,0.027,0.368
"P12004","PCNA",NA,NA,-0.227,-0.544,-0.896,0.254,-0.656,-0.888,-0.004,-0.412,-0.784
"Q92794","KAT6A",NA,NA,-0.266,-0.705,-0.946,0.056,-0.92,-0.451,-0.671,-0.36,-0.963
"P00367","GLUD1",NA,NA,-0.141,1.764,1.584,0.464,1.958,1.751,1.04,0.202,1.415
"P35659","DEK",NA,NA,-0.169,-0.046,-0.088,0.223,0.089,0.128,0.271,0.787,-0.051
"P78527","PRKDC",NA,NA,-0.387,0.577,0.06,-0.231,0.681,0.526,-0.079,-0.052,0.186
"P42285","MTREX",NA,NA,-0.392,-0.011,-0.194,-0.042,-0.306,-0.023,-0.299,-0.172,-0.427
"Q14676","MDC1",NA,NA,-0.239,-0.73,-1.301,0.1,-0.834,-0.821,-0.08,-0.212,-1.068
"Q02447","SP3",NA,NA,-0.172,0.985,0.855,-0.202,0.547,0.753,0.547,-0.288,0.143
"P11142","HSPA8",NA,NA,-0.404,-0.249,-0.7,-0.096,-0.073,-0.177,0.035,-0.354,-0.601
"P13010","XRCC5",NA,NA,-0.244,0.301,0.03,0.129,0.092,0.288,-0.027,-0.086,0.155
"Q92769","HDAC2",NA,NA,-0.389,-0.654,-0.683,0.148,-0.638,-0.501,0.286,-0.319,-0.803
"P35579","MYH9",NA,NA,-0.196,0.129,0.117,0.188,0.401,0.187,0.471,0.807,0.189
"Q02078","MEF2A",NA,NA,-0.346,0.312,0.189,0.445,0.382,0.216,0.262,0.026,0.039
"P07900","HSP90AA1",NA,NA,-0.333,-0.34,-0.391,0.105,-0.432,0.049,0.017,-0.068,-0.373
"P78527","PRKDC",NA,NA,-0.183,0.106,-0.08,0.263,0.092,0.34,0.093,0.176,0.197
"P07305","H1-0",NA,NA,-0.536,1.61,1.518,0.545,1.5,1.404,0.271,0.004,1.631
"P11142","HSPA8",NA,NA,-0.292,-0.286,-0.081,-0.183,-0.036,-0.495,0.276,-0.122,-0.213
"P78527","PRKDC",NA,NA,-0.076,0.25,0.043,0.27,0.413,0.311,0.214,-0.044,0.085
"P09622","DLD",NA,NA,-0.593,0.083,-0.3,0.101,-0.297,0.196,-0.071,-0.227,-0.053
"P62805","H4C1",NA,NA,0.066,-0.569,-0.102,0.216,-0.059,0.142,-0.183,0.773,-0.097
"P08670","VIM",NA,NA,-0.597,2.043,1.932,0.491,1.729,2.056,0.037,0.098,1.92
"P78527","PRKDC",NA,NA,-0.18,0.091,0.063,0.252,0.215,0.253,0.188,0.051,0.001
"Q16695","H3-4",NA,NA,0.222,0.675,0.618,0.391,0.383,0.587,0.577,0.284,0.627
"P84243","H3-3A",NA,NA,0.222,0.675,0.618,0.391,0.383,0.587,0.577,0.284,0.627
"P55854","SUMO3",NA,NA,-0.481,-1.06,-0.757,0.17,-0.445,-0.809,-0.183,-0.368,-1.223
"P55854","SUMO3",NA,NA,-0.481,-1.06,-0.757,0.17,-0.445,-0.809,-0.183,-0.368,-1.223
"P35579","MYH9",NA,NA,-0.337,0.358,0.077,0.178,0.335,0.331,-0.154,-0.017,0.042
"P55854","SUMO3",NA,NA,-0.021,0.081,-0.113,0.104,0.274,0.174,0.151,-0.001,-0.001
"P62805","H4C1",NA,NA,0.048,0.302,0.246,0.165,0.115,0.38,0.383,0.071,0.066
"Q9H0E9","BRD8",NA,NA,-0.139,-0.249,-0.285,0.035,-0.359,-0.101,-0.045,-0.124,-0.331
"Q15596","NCOA2",NA,NA,-0.366,0.27,-0.134,0.071,0.054,0.202,0.04,-0.216,0.092
"Q03111","MLLT1",NA,NA,-0.309,-0.279,-0.319,0.149,-0.298,0.048,0.027,-0.229,-0.075
"Q9UKV3","ACIN1",NA,NA,-0.284,-0.11,-0.042,-0.013,-0.273,0.192,-0.012,-0.28,-0.123
"P35579","MYH9",NA,NA,-0.335,0.298,0.154,-0.023,0.388,0.329,-0.095,-0.077,0.255
"O14745","NHERF1",NA,NA,-0.078,-0.032,-0.242,0.034,0.03,0.05,0.401,0.161,-0.1
"Q13263","TRIM28",NA,NA,-0.5,-0.776,-1.012,0.23,-0.636,-0.853,-0.818,-0.319,-1.234
"P09622","DLD",NA,NA,-0.266,0.333,0.167,0.095,0.04,0.262,0.046,-0.074,0.017
"Q8WYB5","KAT6B",NA,NA,-0.371,0.356,0.145,0.169,0.379,0.694,0.112,-0.301,0.358
"Q92794","KAT6A",NA,NA,-0.371,0.356,0.145,0.169,0.379,0.694,0.112,-0.301,0.358
"Q8WYB5","KAT6B",NA,NA,-0.371,0.356,0.145,0.169,0.379,0.694,0.112,-0.301,0.358
"Q92794","KAT6A",NA,NA,-0.371,0.356,0.145,0.169,0.379,0.694,0.112,-0.301,0.358
"P11142","HSPA8",NA,NA,-0.367,0.005,-0.25,0.024,-0.33,-0.024,-0.213,0.001,-0.145
"Q15648","MED1",NA,NA,-0.265,-0.104,-0.015,0.198,-0.177,0.048,0.259,1.654,-0.162
"P11142","HSPA8",NA,NA,0.174,-0.342,-0.827,0.205,-0.546,-0.489,-0.268,0.116,-0.649
"P06748","NPM1",NA,NA,-0.081,0.613,0.565,0.2,0.587,0.524,0.216,0.28,0.496
"P07900","HSP90AA1",NA,NA,-0.19,0.215,-0.074,0.068,0.094,0.222,0.045,0.014,-0.189
"Q03111","MLLT1",NA,NA,-0.235,-0.25,-0.513,0.024,-0.126,-0.255,0.177,-0.281,-0.383
"P13010","XRCC5",NA,NA,-0.382,0.633,0.38,0.343,0.081,0.207,0.264,-0.311,0.227
"Q9UKV3","ACIN1",NA,NA,1.14,1.434,1.05,-0.037,0.127,1.126,1.064,-0.318,-0.21
"P00367","GLUD1",NA,NA,-0.083,0.695,0.529,0.328,0.722,0.71,0.162,-0.227,0.511
"P13611","VCAN",NA,NA,-0.063,1.597,1.788,0.43,1.589,1.385,0.762,0.314,1.93
"P06748","NPM1",NA,NA,-0.185,0.814,0.883,0.072,0.707,0.879,0.002,0.006,0.942
"P12882","MYH1",NA,NA,-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"Q15291","RBBP5",NA,NA,-0.246,-1.147,-1.481,-0.102,-0.922,-1.336,0.212,-0.369,-1.312
"P13010","XRCC5",NA,NA,-0.255,0.04,-0.137,0.188,0.16,0.254,0.123,-0.155,-0.054
"Q13263","TRIM28",NA,NA,-0.489,0.139,-0.056,-0.249,0.237,0.117,0.019,-0.486,-0.067
"O94776","MTA2",NA,NA,-0.079,-0.185,-0.269,0.327,-0.048,0.102,0.328,-0.01,-0.409
"Q09472","EP300",NA,NA,-0.238,-0.44,-0.443,-0.277,0.555,-0.248,0.476,0.282,-0.63
"P35579","MYH9",NA,NA,-0.082,0.289,0.352,0.271,0.235,0.285,0.059,-0.151,0.3
"O75367","MACROH2A1",NA,NA,-0.306,1.033,0.699,0.342,0.983,0.924,0.339,0.08,0.579
"P07900","HSP90AA1",NA,NA,-0.084,0.049,-0.042,0.182,-0.059,0.163,0.189,-0.007,0.025
"Q16695","H3-4",NA,NA,0.064,-0.948,-0.728,0.154,-1.164,-0.497,0.058,0,-0.948
"P55854","SUMO3",NA,NA,0.094,0.156,0.184,0.297,0.256,0.364,0.393,1.533,0.164
"Q4LE39","ARID4B",NA,NA,0.086,0.219,0.079,0.318,0.264,0.24,0.191,0.168,0.16
"Q9Y6Q9","NCOA3",NA,NA,-0.412,0.453,-0.038,0.241,-0.221,0.315,0.025,-0.148,0.029
"P11142","HSPA8",NA,NA,-0.375,0.135,-0.287,-0.02,0.023,0.08,-0.09,-0.225,-0.012
"P04406","GAPDH",NA,NA,-0.107,0.092,0.016,0.155,0.172,0.078,0.374,0.082,0.223
"P53675","CLTCL1",NA,NA,-0.111,0.627,0.585,0.151,0.717,0.643,0.352,1.277,0.457
"P08670","VIM",NA,NA,-0.166,0.022,0.116,0.214,0.116,0.26,0.536,0.36,0.274
"P07900","HSP90AA1",NA,NA,-0.067,-2.429,-2.88,-0.14,-3.381,-2.453,-0.392,-0.178,-3.225
"Q15648","MED1",NA,NA,-0.306,-0.122,-0.249,0.015,-0.149,-0.185,0.11,-0.121,-0.094
"P11142","HSPA8",NA,NA,0.283,0.091,0.333,0.069,0.349,0.33,0.287,-0.283,-0.022
"P27695","APEX1",NA,NA,-0.181,-0.515,-0.786,-0.093,-0.683,-0.398,-0.446,-0.308,-0.625
"P42285","MTREX",NA,NA,-0.398,-0.157,-0.496,0.134,-0.302,-0.049,0.017,-0.062,-0.299
"P42285","MTREX",NA,NA,-0.525,0.387,-0.141,0.224,0.155,0.51,-0.282,-0.344,0.129
"P78527","PRKDC",NA,NA,-0.073,-0.871,-0.854,-0.033,-0.768,-0.732,0.655,-0.098,-0.862
"P16401","H1-5",NA,NA,0.085,0.631,0.37,0.338,0.469,0.619,0.45,0.233,0.398
"Q02539","H1-1",NA,NA,0.085,0.631,0.37,0.338,0.469,0.619,0.45,0.233,0.398
"P16403","H1-2",NA,NA,0.085,0.631,0.37,0.338,0.469,0.619,0.45,0.233,0.398
"Q9Y618","NCOR2",NA,NA,-0.145,-0.248,-0.353,0.116,-0.544,-0.169,0.371,-0.092,-0.397
